fold,accuracy,precision,recall,recall_class_0,recall_class_1,f1_score,auc
1,0.9083056478405316,0.9268817204301075,0.9729119638826185,0.42045454545454547,0.9729119638826185,0.9493392070484582,0.9080156816471715
2,0.9116279069767442,0.9358600583090378,0.9661399548532731,0.5,0.9661399548532731,0.9507589781562384,0.9221945755523634
3,0.9049833887043189,0.9260057471264368,0.9699021820917983,0.4147727272727273,0.9699021820917983,0.9474457919882396,0.8814855667282304
4,0.9049833887043189,0.9278499278499278,0.9676448457486833,0.4318181818181818,0.9676448457486833,0.947329650092081,0.9001043163007045
5,0.9089700996677741,0.9281092739036664,0.9721385542168675,0.4350282485875706,0.9721385542168675,0.9496138286134609,0.8978902899734531
